Period,Social protection policy,Infrastructure investment,Environmental and research-oriented policy
0,3.0558420299128732,2.444563311641549,1.458086850933162
1,1.809714821368684,1.752403502700576,0.9116977842045949
2,1.1738183591699474,1.3135993854631154,0.5541737571133724
3,0.7429592119813994,0.983435028596516,0.3338509774024752
4,0.4612337375744627,0.7333377369202595,0.20035271933499507
5,0.28166911318809273,0.5417490488869618,0.11972658410511934
6,0.16909246637494907,0.39233480201321835,0.07081107575469872
7,0.09867423460476074,0.2725330250326615,0.04063486226799834
8,0.05347758689327407,0.17242625492632468,0.02121801798244231
9,0.02245535349300785,0.08389289713714253,0.00785423370420996
