Period,Cost of healthy diet,Cannot afford healthy diet,Prevalence of undernourishment,"Minimum dietary diversity, women",Food system emissions,Emissions intensity,Social protection coverage
0,-2.2,-2.0,-1.6,-1.1,-2.4,-1.2,-0.9
1,-1.649978603904521,-0.3355966297670885,-1.144029794123521,-1.0665326376069704,-1.917078784590409,0.1352376458406181,0.3293200520098157
2,-1.2520470432231914,0.34903884502406224,-0.7732163858575933,-0.8827812953962386,-1.2411460423988845,0.24300409746228124,0.4065167939182477
3,-0.952996801678671,0.5686929346196578,-0.4943354594816578,-0.683926605864857,-0.7623131154751778,0.1764798324950501,0.3109884903547296
4,-0.7283286564473646,0.5686646144677274,-0.30206021811019546,-0.5120292308073937,-0.4610239823147201,0.11169988831563028,0.21000483606559747
5,-0.5599114309793494,0.48285298028825024,-0.17661625746892984,-0.3763773008652136,-0.2775548810368637,0.06806992204075529,0.13452727863087374
6,-0.4344010306307289,0.3766511594109457,-0.09845858378712014,-0.27444120546295125,-0.16698657126777244,0.040913405165107664,0.08369422904313004
7,-0.3420607147368131,0.2778937150200004,-0.052172575972742274,-0.2001924152051946,-0.10065989459131935,0.024314857302546115,0.050963259322382215
8,-0.2759017344940933,0.19543722607835307,-0.02683813810238611,-0.14743752045916403,-0.061089903733719086,0.014102764970228918,0.030260470402997598
9,-0.23106992188264996,0.12937396316523256,-0.015321705781201844,-0.1110278336941759,-0.037787697336681886,0.007615581603416729,0.017047565004653747
10,-0.20441570430383194,0.07634343761184523,-0.013319982100856942,-0.08713157391561421,-0.02449680860230996,0.003247590862179475,0.008223002320771871
