Period,Cost of healthy diet - full model,Cost of healthy diet - no interactions,Cannot afford healthy diet - full model,Cannot afford healthy diet - no interactions,Prevalence of undernourishment - full model,Prevalence of undernourishment - no interactions,"Minimum dietary diversity, women - full model","Minimum dietary diversity, women - no interactions",Food system emissions - full model,Food system emissions - no interactions,Emissions intensity - full model,Emissions intensity - no interactions,Social protection coverage - full model,Social protection coverage - no interactions
0,2.2,2.2,2.0,2.0,1.6,1.6,1.1,1.1,2.4,2.4,1.2,1.2,0.9,0.9
1,1.649978603904521,1.6711799824723377,0.3355966297670885,0.356983063027169,1.144029794123521,1.0148045040158264,1.0665326376069704,0.6464425215638925,1.917078784590409,1.6264567491839268,0.0,0.0,0.0,0.0
2,1.2520470432231914,1.2830713604322683,0.0,0.0,0.7732163858575933,0.6806005652153226,0.8827812953962386,0.3863644885771773,1.2411460423988845,1.1022692858901573,0.0,0.0,0.0,0.0
3,0.952996801678671,0.9864894812938654,0.0,0.0,0.4943354594816578,0.4578057689268096,0.683926605864857,0.22427259378265166,0.7623131154751778,0.7470759604467245,0.0,0.0,0.0,0.0
4,0.7283286564473646,0.7603735021954781,0.0,0.0,0.30206021811019546,0.30909643213215654,0.5120292308073937,0.12460677680134105,0.4610239823147201,0.5064245241146892,0.0,0.0,0.0,0.0
5,0.5599114309793494,0.5887025620067781,0.0,0.0,0.17661625746892984,0.20976059190012908,0.3763773008652136,0.06444653178837667,0.2775548810368637,0.3434246926841204,0.0,0.0,0.0,0.0
6,0.4344010306307289,0.45936315972129926,0.0,0.0,0.09845858378712014,0.14344796690105877,0.27444120546295125,0.029088635767291565,0.16698657126777244,0.23309332816280023,0.0,0.0,0.0,0.0
7,0.3420607147368131,0.36329785550748617,0.0,0.0,0.052172575972742274,0.09936126706048964,0.2001924152051946,0.009159505888488101,0.10065989459131935,0.15852553711999343,0.0,0.0,0.0,0.0
8,0.2759017344940933,0.29387580879530173,0.0,0.0,0.02683813810238611,0.07041639581074755,0.14743752045916403,0.0,0.061089903733719086,0.10830496985386698,0.0,0.0,0.0,0.0
9,0.23106992188264996,0.24644191093812262,0.0,0.0,0.015321705781201844,0.05209896982454487,0.1110278336941759,0.0,0.037787697336681886,0.07475669394151589,0.0,0.0,0.0,0.0
10,0.20441570430383194,0.21801460412612506,0.0,0.0,0.013319982100856942,0.04180833926849592,0.08713157391561421,0.0,0.02449680860230996,0.052775343936670896,0.0,0.0,0.0,0.0
