Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
1,107.60811580562705,True,Infrastructure investment,Infrastructure investment,0.8854109216256109,True,0.08276628342556772,0.17965918123051994,0.1027670107694364,0.007255799989530666,2.3670744030489232
2,94.5897491477074,True,Social protection policy,Infrastructure investment,0.8421994140377476,True,0.10953888724064911,0.2813863001534852,0.10131980702450905,0.0006799981642776759,3.9266268977393173
3,115.96802748689745,True,Infrastructure investment,Infrastructure investment,0.892576379926846,True,0.051008429744178574,0.06711781933803929,0.07361793242160197,0.03779375234498374,2.785762807073492
4,61.969888110930064,True,Infrastructure investment,Infrastructure investment,0.8766773442363073,True,0.019206723412299734,0.0294050990363961,0.025491565389262172,0.012326867517390802,2.136087532711804
5,105.20063436001513,True,Social protection policy,Infrastructure investment,0.8332555193352716,True,0.10906577296624323,0.11130085817607871,0.24272017185940464,0.02770917534636795,3.720597679952117
6,80.97639856285718,True,Social protection policy,Infrastructure investment,0.7211003609159771,True,0.07961082693945418,0.1873061731342982,0.0786254427276758,0.01270627842611563,5.405299477035755
7,77.16604253836928,True,Social protection policy,Infrastructure investment,0.8934439660836023,True,0.06446021740691656,0.10855040468270183,0.08333221344959396,0.03372814279191215,1.9675172723986105
8,93.46081894852821,True,Social protection policy,Infrastructure investment,0.7798340392192983,True,0.06287989514448379,0.19306922511673474,0.026117981996795714,0.000892425892162832,5.6519714794149944
9,93.1650154982773,True,Social protection policy,Infrastructure investment,0.8809742073901398,True,0.027752601168986677,0.04004438887458084,0.007440706336803271,0.049649008880069255,2.5453161020484467
10,70.66287091915012,True,Social protection policy,Social protection policy,0.8396031137052546,True,0.056755845597983065,0.14782139549578777,0.03926706312139655,0.011557000975756418,2.93303762831413
11,86.1443606705061,True,Infrastructure investment,Infrastructure investment,0.8054011487725643,True,0.04360834600081712,0.06885826554706864,0.07268244268464735,0.01108850277114392,3.7600589322236293
12,87.07396848893293,True,Social protection policy,Social protection policy,0.905179459432954,True,0.08894583701305118,0.14790396419436114,0.11796249266107173,0.04544397269024629,1.8549851796656849
13,87.91374395978876,True,Infrastructure investment,Infrastructure investment,0.7960986318534349,True,0.04317106287479372,0.02382604236778796,0.10924391987860271,0.018028757815387347,3.7351713316940227
14,84.97700868265343,True,Infrastructure investment,Infrastructure investment,0.8327516304804674,True,0.04904359760642203,0.09843644480335512,0.05743096807628134,0.01578517874284066,3.5752348189481262
15,102.02094699476208,True,Social protection policy,Infrastructure investment,0.7885662801803566,True,0.14046432751302376,0.24043847840581456,0.23981584438444736,0.011370823505321231,4.853797859154225
16,84.6822717070526,True,Social protection policy,Infrastructure investment,0.7963681124700457,True,0.04030726044743592,0.08330190650277497,0.04059877815986973,0.01717472690338101,3.8392175405370517
17,72.56981365332167,True,Social protection policy,Social protection policy,0.852847603743114,True,0.050969227329739054,0.11472468965157079,0.041601325028088276,0.02206628097442761,2.404740523429333
18,70.26936846706253,True,Social protection policy,Infrastructure investment,0.7656872346982324,True,0.05080117240848003,0.05929966523624819,0.07780800105074659,0.040696437142685324,3.50980200734511
19,120.27171971928931,True,Social protection policy,Infrastructure investment,0.7675202124203383,True,0.04837096478255861,0.11165194828273572,0.033890434249425394,0.02375599420679403,5.948414305735734
20,58.63618135762525,True,Social protection policy,Infrastructure investment,0.8539739190031941,True,0.02098964138189933,0.035593534567732954,0.026393287157061907,0.011476923111852812,2.4538359292339575
21,77.36420845017166,True,Social protection policy,Social protection policy,0.8311036143973273,True,0.04483143884034351,0.12933747136327767,0.017114655396222977,0.010457909181701641,3.5162191480861957
22,73.2249048688939,True,Environmental and research-oriented policy,Social protection policy,0.6839065978542453,True,0.10858299158922122,0.19165347677061115,0.184812033758898,0.0035749600327650843,5.70491366790762
23,78.98824691041607,True,Social protection policy,Social protection policy,0.7732410012653796,True,0.07285818866686032,0.16584746081799712,0.07472110888200523,0.01443509063400876,3.94744434326254
24,136.1179278329292,True,Infrastructure investment,Infrastructure investment,0.8680565779447147,True,0.09488612087182566,0.12361890268564557,0.1951253220715099,0.013357198294234346,2.681438913462898
25,72.34776076883416,True,Social protection policy,Infrastructure investment,0.7796256541858961,True,0.04350419728886295,0.06376757151992529,0.0787012991613133,0.009795819829781713,3.8035350587926864
26,84.29253260890928,True,Social protection policy,Infrastructure investment,0.8310837166142117,True,0.029074059737005612,0.04482437577602738,0.04117138520440028,0.015763448099091984,3.2139164369091713
