Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,1,93.3308253284213,True,Social protection policy,Social protection policy,0.8131077428226599,True,0.03524856601457189,0.06323603914774967,0.05158673401481395,0.008547207888437991,3.7246816036084835
Policy-impact matrix,2,97.58017739100409,True,Social protection policy,Social protection policy,0.8229879994710085,True,0.04770500059100686,0.08237656618653455,0.07496186678438832,0.00962906909760114,3.787132666636015
Policy-impact matrix,3,98.69888803470333,True,Social protection policy,Infrastructure investment,0.828049922815584,True,0.05213877658895398,0.10570599610970643,0.057564350161878,0.019215371789754493,3.570476263255506
Policy-impact matrix,4,97.76445412990356,True,Social protection policy,Infrastructure investment,0.818016155492581,True,0.06043593073658672,0.14593244961961238,0.05443628385094057,0.011157024107500566,3.6826285487553303
Policy-impact matrix,5,96.19014462094415,True,Social protection policy,Infrastructure investment,0.8173874913387518,True,0.0431501749314341,0.08731832670715411,0.049376451065890725,0.014330834486974517,3.7270245110576963
Policy-impact matrix,6,98.92355362116588,True,Social protection policy,Infrastructure investment,0.824553421195714,True,0.051113369919099864,0.10383792516867474,0.056064949402937825,0.018993920145236966,3.6591511993130696
Policy-impact matrix,7,99.30882348639585,True,Social protection policy,Infrastructure investment,0.8264501863547179,True,0.056815156335803134,0.11517229902847337,0.07382576283765774,0.009854985309179859,3.727551055957299
Policy-impact matrix,8,100.64439563979906,True,Social protection policy,Infrastructure investment,0.826994952907324,True,0.06719468990770462,0.15697245789574266,0.06324140023212554,0.014967556549097996,3.613343286336275
Policy-impact matrix,9,91.68024610746538,True,Social protection policy,Infrastructure investment,0.8052626897823879,True,0.034553518478242014,0.07497801840840956,0.037138241874603795,0.00882105439083368,3.7351807498147855
Policy-impact matrix,10,95.72596489734104,True,Social protection policy,Infrastructure investment,0.8188909778840285,True,0.04792382672485603,0.10688207795362348,0.05458617234939733,0.006265143233975298,3.6859992880474994
Policy-impact matrix,11,93.60648430158133,True,Social protection policy,Infrastructure investment,0.807715096702305,True,0.03903523319052228,0.0774990676082229,0.048059484960796484,0.0110647635978086,3.784363021939561
Policy-impact matrix,12,100.16928891749613,True,Social protection policy,Infrastructure investment,0.8292785259388009,True,0.05862529421941731,0.12386309142652763,0.06699083495909908,0.014334603382333888,3.648346079694965
Policy-impact matrix,13,91.8029795555479,True,Social protection policy,Infrastructure investment,0.8032094236037974,True,0.03663648777128847,0.07588080978182898,0.04176800098683564,0.010578896430845044,3.766550179855765
Policy-impact matrix,14,93.65562372703019,True,Social protection policy,Infrastructure investment,0.8142596984257289,True,0.03805370864534162,0.08311378845602613,0.04126591556485648,0.008808276237813037,3.694550322327419
Policy-impact matrix,15,93.39063532738936,True,Social protection policy,Infrastructure investment,0.8082773694182364,True,0.03752755881441132,0.07208434885726689,0.04563346287801329,0.013628644115159433,3.7343664378591184
