Country,ISO3,Region,First year,Last year,Distinct years observed,Outcomes represented (of 7),Total outcome-year observations,Coverage rate across country-year-outcome cells (%),Cost of healthy diet observations,Cannot afford healthy diet observations,Prevalence of undernourishment observations,"Minimum dietary diversity, women observations",Food system emissions observations,Emissions intensity observations,Social protection coverage observations
Afghanistan,AFG,Southern Asia,2000,2024,25,5,72,41.1,0,0,23,1,23,23,2
Albania,ALB,Northern America & Europe,2000,2024,25,7,92,52.6,8,8,23,1,23,23,6
Algeria,DZA,Northern Africa & Western Asia,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Andorra,AND,Northern America & Europe,2000,2022,23,1,23,14.3,0,0,0,0,23,0,0
Angola,AGO,Sub-Saharan Africa,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Antigua and Barbuda,ATG,Latin America & Caribbean,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Argentina,ARG,Latin America & Caribbean,2000,2024,25,6,83,47.4,1,1,23,0,23,23,12
Armenia,ARM,Northern Africa & Western Asia,2000,2024,25,7,98,56.0,8,8,23,1,23,23,12
Aruba,ABW,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Australia,AUS,Oceania,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Austria,AUT,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Azerbaijan,AZE,Northern Africa & Western Asia,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Bahamas,BHS,Latin America & Caribbean,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Bahrain,BHR,Northern Africa & Western Asia,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Bangladesh,BGD,Southern Asia,2000,2024,25,7,89,50.9,8,8,23,1,23,23,3
Barbados,BRB,Latin America & Caribbean,2000,2024,25,3,69,39.4,0,0,23,0,23,23,0
Belarus,BLR,Northern America & Europe,2000,2024,25,6,96,54.9,8,8,23,0,23,23,11
Belgium,BEL,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Belize,BLZ,Latin America & Caribbean,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Benin,BEN,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Bermuda,BMU,Northern America & Europe,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Bhutan,BTN,Southern Asia,2000,2024,25,5,65,37.1,8,8,0,0,23,23,3
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,2000,2024,25,7,99,56.6,8,8,23,1,23,23,13
Bosnia and Herzegovina,BIH,Northern America & Europe,2000,2024,25,6,87,49.7,8,8,23,0,23,23,2
Botswana,BWA,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Brazil,BRA,Latin America & Caribbean,2000,2024,25,7,96,54.9,8,8,23,1,23,23,10
British Virgin Islands,VGB,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Brunei Darussalam,BRN,South-eastern Asia,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Bulgaria,BGR,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Burkina Faso,BFA,Sub-Saharan Africa,2000,2024,25,7,89,50.9,8,8,23,1,23,23,3
Burundi,BDI,Sub-Saharan Africa,2000,2024,25,4,62,35.4,8,8,0,0,23,23,0
Cabo Verde,CPV,Sub-Saharan Africa,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Cambodia,KHM,South-eastern Asia,2000,2024,25,6,80,45.7,8,0,23,1,23,23,2
Cameroon,CMR,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Canada,CAN,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Cayman Islands,CYM,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Central African Republic,CAF,Sub-Saharan Africa,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Chad,TCD,Sub-Saharan Africa,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
